,ASCII Glyph,bitstring
0,(space),"[0, 0, 0, 0, 0, 0]"
1,!,"[0, 1, 1, 0, 1, 1]"
2,"""","[0, 0, 0, 1, 0, 0]"
3,#,"[0, 1, 0, 1, 1, 1]"
4,$,"[1, 1, 1, 0, 0, 1]"
5,%,"[1, 1, 0, 0, 0, 1]"
6,&,"[1, 1, 1, 0, 1, 1]"
7,,"[0, 0, 0, 0, 1, 0]"
8,(,"[1, 0, 1, 1, 1, 1]"
9,),"[0, 1, 1, 1, 1, 1]"
10,*,"[1, 0, 0, 0, 0, 1]"
11,=+,"[0, 1, 0, 0, 1, 1]"
12,",","[0, 0, 0, 0, 0, 1]"
13,-,"[0, 0, 0, 0, 1, 1]"
14,.,"[0, 1, 0, 0, 0, 1]"
15,/,"[0, 1, 0, 0, 1, 0]"
16,0,"[0, 0, 0, 1, 1, 1]"
17,1,"[0, 0, 1, 0, 0, 0]"
18,2,"[0, 0, 1, 0, 1, 0]"
19,3,"[0, 0, 1, 1, 0, 0]"
20,4,"[0, 0, 1, 1, 0, 1]"
21,5,"[0, 0, 1, 0, 0, 1]"
22,6,"[0, 0, 1, 1, 1, 0]"
23,7,"[0, 0, 1, 1, 1, 1]"
24,8,"[0, 0, 1, 0, 1, 1]"
25,9,"[0, 0, 0, 1, 1, 0]"
26,:,"[1, 0, 0, 1, 0, 1]"
27,;,"[0, 0, 0, 1, 0, 1]"
28,<,"[1, 0, 1, 0, 0, 1]"
29,=,"[1, 1, 1, 1, 1, 1]"
30,>,"[0, 1, 0, 1, 1, 0]"
31,?,"[1, 1, 0, 1, 0, 1]"
32,@,"[0, 1, 0, 0, 0, 0]"
33,A,"[1, 0, 0, 0, 0, 0]"
34,B,"[1, 0, 1, 0, 0, 0]"
35,C,"[1, 1, 0, 0, 0, 0]"
36,D,"[1, 1, 0, 1, 0, 0]"
37,E,"[1, 0, 0, 1, 0, 0]"
38,F,"[1, 1, 1, 0, 0, 0]"
39,G,"[1, 1, 1, 1, 0, 0]"
40,H,"[1, 0, 1, 1, 0, 0]"
41,I,"[0, 1, 1, 0, 0, 0]"
42,J,"[0, 1, 1, 1, 0, 0]"
43,K,"[1, 0, 0, 0, 1, 0]"
44,L,"[1, 0, 1, 0, 1, 0]"
45,M,"[1, 1, 0, 0, 1, 0]"
46,N,"[1, 1, 0, 1, 1, 0]"
47,O,"[1, 0, 0, 1, 1, 0]"
48,P,"[1, 1, 1, 0, 1, 0]"
49,Q,"[1, 1, 1, 1, 1, 0]"
50,R,"[1, 0, 1, 1, 1, 0]"
51,S,"[0, 1, 1, 0, 1, 0]"
52,T,"[0, 1, 1, 1, 1, 0]"
53,U,"[1, 0, 0, 0, 1, 1]"
54,V,"[1, 0, 1, 0, 1, 1]"
55,W,"[0, 1, 1, 1, 0, 1]"
56,X,"[1, 1, 0, 0, 1, 1]"
57,Y,"[1, 1, 0, 1, 1, 1]"
58,Z,"[1, 0, 0, 1, 1, 1]"
59,[,"[0, 1, 1, 0, 0, 1]"
60,\,"[1, 0, 1, 1, 0, 1]"
61,],"[1, 1, 1, 1, 0, 1]"
62,^,"[0, 1, 0, 1, 0, 0]"
63,_,"[0, 1, 0, 1, 0, 1]"
